"","brand","year","mileage","engine_size","automatic_transmission","fuel","drivetrain","min_mpg","max_mpg","damaged","first_owner","navigation_system","bluetooth","third_row_seating","heated_seats","price"
"7353","Kia",2020,31884,1.6,1,"Hybrid","Front-wheel Drive",33,36,0,1,0,1,0,1,26990
"7419","Toyota",2018,70110,3.5,1,"Petrol","Front-wheel Drive",21,30,1,1,1,1,0,0,22995
"7475","Ford",2013,59694,2.5,1,"Petrol","Front-wheel Drive",22,31,0,1,0,0,0,0,11899
"7532","Mazda",2019,46900,2.5,1,"Petrol","Four-wheel Drive",23,29,0,0,1,1,1,1,29572
"7590","Mazda",2021,21875,2.5,1,"Petrol","Four-wheel Drive",23,31,0,1,0,1,0,0,23500
"7647","Toyota",2017,85050,2.5,1,"Petrol","Front-wheel Drive",24,33,0,1,0,1,0,0,16995
"7702","Jaguar",2015,50902,3,1,"Petrol","Four-wheel Drive",18,26,1,0,1,1,0,0,25999
"7757","Maserati",2021,19999,3,1,"Petrol","Rear-wheel Drive",17,24,0,1,1,1,0,1,53997
"7816","Honda",2019,56162,1.5,1,"Petrol","Front-wheel Drive",28,34,0,0,0,1,0,1,27588
"7877","Lexus",2020,74919,3.5,1,"Petrol","Front-wheel Drive",18,24,0,1,0,1,0,0,32097
"7941","Kia",2022,20237,2.5,1,"Petrol","Front-wheel Drive",35,39,0,0,1,1,1,1,42998
"7997","Chevrolet",2011,200391,5.3,1,"GPL","Four-wheel Drive",15,21,1,0,0,1,1,0,10977
"8063","FIAT",2016,103530,2.4,1,"Petrol","Front-wheel Drive",22,31,0,0,1,1,0,1,13495
"8119","Mercedes-Benz",2020,32857,3,1,"Petrol","Rear-wheel Drive",NA,NA,1,1,1,1,0,1,51796
"8176","Mitsubishi",2022,32559,2,1,"Petrol","Front-wheel Drive",23,28,0,1,0,1,0,0,22794
"8236","Honda",2023,2624,3.5,1,"Petrol","Four-wheel Drive",NA,NA,0,1,1,1,0,1,42995
"8295","Suzuki",2004,124000,2.5,1,"Petrol","Front-wheel Drive",NA,NA,0,0,0,0,0,0,2595
"8352","MINI",2006,97141,1.6,0,"Petrol","Front-wheel Drive",29,36,1,0,0,0,0,0,7999
"8409","Jeep",2020,33718,3.6,1,"Petrol","Four-wheel Drive",NA,NA,0,1,1,1,0,0,35675
"8469","Audi",2021,18477,3,1,"Petrol","Four-wheel Drive",18,24,1,1,0,1,0,1,48959
"8529","Volvo",2020,20936,2,1,"Petrol","Four-wheel Drive",NA,NA,0,1,1,1,0,0,35999
"8587","Volvo",2021,18217,NA,1,"Electric","Four-wheel Drive",NA,NA,0,1,1,1,0,1,41994
"8643","Maserati",2019,19913,3,1,"Petrol","Four-wheel Drive",15,21,0,1,1,1,0,1,41900
"8705","Volvo",2019,37289,2,1,"Petrol","Four-wheel Drive",25,33,0,0,0,1,0,0,30695
"8758","Jaguar",2005,35892,4.2,1,"Petrol","Rear-wheel Drive",21,30,0,0,1,0,0,1,19999
"8815","Chevrolet",2019,99862,4.3,1,"Petrol","Four-wheel Drive",15,20,0,1,0,1,0,0,26497
"8874","Honda",2017,79998,3.5,1,"Petrol","Four-wheel Drive",18,26,0,1,0,1,1,1,23724
"8933","Mitsubishi",2019,34154,3,1,"Petrol","Four-wheel Drive",23,29,0,1,0,1,1,0,22871
"8989","Mercedes-Benz",2011,121625,3,1,"Petrol","Four-wheel Drive",22,29,1,0,0,1,0,0,9700
"9050","Jaguar",2015,44396,2,1,"Petrol","Rear-wheel Drive",18,26,0,0,1,1,0,1,19994
"9105","Honda",2015,147229,3.5,1,"Petrol","Four-wheel Drive",17,24,0,0,0,1,1,1,14200
"9164","Mitsubishi",2018,64060,2.4,1,"Petrol","Four-wheel Drive",24,29,0,0,0,1,1,0,17995
"9222","Land",2019,29096,NA,1,"Petrol","Four-wheel Drive",17,23,0,1,0,1,0,0,27988
"9280","Volkswagen",2020,46600,3.6,1,"Petrol","Four-wheel Drive",17,23,0,1,1,1,0,1,38336
"9336","BMW",2020,67632,3,1,"Petrol","Rear-wheel Drive",22,29,0,1,1,1,0,1,41500
"9397","Honda",2005,327162,2.4,1,"Petrol","Front-wheel Drive",24,34,0,0,0,0,0,0,6495
"9454","Ford",2013,39126,2,1,"Hybrid","Front-wheel Drive",37,42,1,0,1,1,0,1,14822
"9515","Nissan",2020,64210,5.6,1,"Petrol","Four-wheel Drive",17,22,0,1,1,1,1,0,32558
"9574","Audi",2020,29355,2,1,"Petrol","Front-wheel Drive",27,35,0,1,0,1,0,1,29455
"9635","Chevrolet",2019,47628,2,1,"Petrol","Rear-wheel Drive",20,30,0,1,0,1,0,0,24288
"9692","FIAT",2020,37681,1.4,1,"Petrol","Rear-wheel Drive",25,36,0,1,0,1,0,0,23832
"9753","Mercedes-Benz",2017,77897,3,1,"Petrol","Four-wheel Drive",13,14,1,0,0,1,1,1,28990
"9817","Hyundai",2009,140032,2,1,"Petrol","Front-wheel Drive",21,26,1,1,0,0,0,0,6499
"9878","MINI",2016,64581,1.6,1,"Petrol","Front-wheel Drive",23,32,0,0,0,1,0,0,14995
"9933","Cadillac",2020,24778,2,1,"Petrol","Four-wheel Drive",14,19,0,1,1,1,0,0,40700
"9989","Nissan",2023,2409,3.5,1,"Petrol","Four-wheel Drive",21,27,0,1,1,1,1,1,43594
"10051","Mazda",2020,42962,2.5,1,"Petrol","Front-wheel Drive",24,30,0,1,0,1,0,0,21099
"10108","FIAT",2017,63874,1.4,1,"Petrol","Front-wheel Drive",28,33,0,1,1,1,0,1,15888
"10167","Audi",2021,34708,2,1,"Petrol","Four-wheel Drive",23,31,0,1,0,1,0,1,44000
"10230","Cadillac",2012,90421,6.2,1,"GPL","Four-wheel Drive",23,32,0,1,1,1,0,1,30995
"10296","Volvo",2020,36519,2,1,"Petrol","Four-wheel Drive",20,25,0,1,1,1,1,1,43260
"10350","Kia",2020,30988,3.3,1,"Petrol","Four-wheel Drive",39,46,0,1,0,1,1,1,27000
"10410","Nissan",2023,3020,3.5,1,"Petrol","Four-wheel Drive",29,39,0,1,1,0,1,1,48398
"10470","Volkswagen",2022,19147,2,1,"Petrol","Unknown",22,30,0,0,0,1,0,1,27975
"10530","Jeep",2021,21850,2,1,"Petrol","Four-wheel Drive",23,28,1,0,1,1,0,1,40988
"10590","Audi",2018,32934,3,1,"Petrol","Four-wheel Drive",21,30,0,0,1,1,0,1,41397
"10652","Mitsubishi",2020,54057,1.2,0,"Petrol","Front-wheel Drive",25,30,1,1,0,1,0,0,13995
"10708","Jaguar",2018,19500,3,1,"Petrol","Rear-wheel Drive",16,25,1,0,1,1,0,0,47951
"10767","Toyota",2022,15441,2.5,1,"Hybrid","Four-wheel Drive",34,35,0,1,1,1,1,1,47149
"10834","Honda",2017,98119,3.5,1,"Petrol","Front-wheel Drive",20,27,0,1,1,1,1,1,24750
"10893","Alfa",2018,47996,2,1,"Petrol","Four-wheel Drive",22,28,0,0,0,1,0,1,27211
"10956","Nissan",2020,29041,3.5,1,"Petrol","Front-wheel Drive",13,18,1,1,0,1,1,0,25947
"11011","Mitsubishi",2021,11581,2.4,1,"Hybrid","Four-wheel Drive",23,29,0,1,0,1,0,1,27990
"11068","Maserati",2019,41195,3,1,"Petrol","Four-wheel Drive",16,24,1,1,1,1,0,0,43995
"11125","FIAT",2019,29835,0,0,"Electric","Front-wheel Drive",NA,NA,0,1,1,1,0,1,14444
"11177","Audi",2015,35268,2,1,"Petrol","Four-wheel Drive",23,31,1,0,0,1,0,1,24915
"11237","Nissan",2010,55819,3.7,0,"Petrol","Rear-wheel Drive",21,26,1,0,0,1,0,0,18995
"11292","Maserati",2017,39628,3,1,"Petrol","Rear-wheel Drive",16,23,1,1,1,1,0,0,38995
"11353","Alfa",2019,48916,2,1,"Petrol","Rear-wheel Drive",NA,NA,0,0,0,1,0,1,28412
"11417","Ford",2021,41430,5,1,"Petrol","Four-wheel Drive",19,22,0,1,0,1,0,0,39717
"11473","Hyundai",2019,28605,NA,1,"Electric","Front-wheel Drive",NA,NA,0,1,0,1,0,1,20985
"11530","Lexus",2016,79994,5,1,"Petrol","Rear-wheel Drive",22,27,0,0,1,1,0,1,43418
"11588","MINI",2022,7938,NA,1,"Electric","Front-wheel Drive",28,35,0,1,1,1,0,1,27770
"11642","Nissan",2012,48769,3.5,1,"Petrol","Front-wheel Drive",15,21,0,1,0,1,1,0,12937
"11695","Cadillac",2013,75620,3.6,1,"Petrol","Four-wheel Drive",15,21,0,0,0,1,0,0,16995
"11751","Maserati",2017,25250,3,1,"Petrol","Four-wheel Drive",11,18,0,0,1,1,0,0,38995
"11810","Chevrolet",2006,38403,6,0,"Petrol","Rear-wheel Drive",NA,NA,0,0,0,0,0,0,29590
